,Neighbourhood,year,description,count
579,Brighton,2023.0,Maintenance,3
580,Brighton,2023.0,Materials (A) Min. Standards,1
581,Brighton,2023.0,No use of premises permit:,2
582,Brighton,2023.0,Testing & Certification,1
583,Brighton,2023.0,Unsafe Structures,12
584,Brighton,2023.0,Working Space,1
585,Brighton,2024.0,Building or Use of Premise req,2
586,Brighton,2024.0,Failed to comply w permit term,1
587,Brighton,2024.0,Failure to Obtain Permit,17
588,Brighton,2024.0,Maintenance,5
589,Brighton,2024.0,Permits,6
590,Brighton,2024.0,Protection of Adj. Property,2
591,Brighton,2024.0,Right of Entry,1
592,Brighton,2024.0,Testing & Certification,2
593,Brighton,2024.0,Unsafe Structures,6
594,Charlestown,2010.0, Mass. State Plumbing Code,1
595,Charlestown,2010.0,Building or Use of Premise req,2
596,Charlestown,2010.0,Certificate of Inspection,1
597,Charlestown,2010.0,Failure to secure permit,2
598,Charlestown,2010.0,Final Inspection,1
599,Charlestown,2010.0,Inspections,4
600,Charlestown,2010.0,Maintenance,4
601,Charlestown,2010.0,Mechanical Execution of Work,1
602,Charlestown,2010.0,Unlawful Continuance,1
603,Charlestown,2010.0,Unsafe Maintenance,5
604,Charlestown,2010.0,Unsafe Structure,5
605,Charlestown,2010.0,Unsafe Structures,2
606,Charlestown,2010.0,Unsafe and Dangerous,1
607,Charlestown,2011.0,Guarding of Live Ports,1
608,Charlestown,2011.0,Inspections,1
609,Charlestown,2011.0,Maintenance,2
610,Charlestown,2011.0,Permits,1
611,Charlestown,2011.0,Permits to perform gas fitting,1
612,Charlestown,2011.0,Right of Entry,1
613,Charlestown,2011.0,Unsafe Structure,1
614,Charlestown,2011.0,Unsafe Structures,4
615,Charlestown,2011.0,Unsafe and Dangerous,1
616,Charlestown,2011.0,Work without permit,1
617,Charlestown,2012.0,Building or Use of Premise req,2
618,Charlestown,2012.0,Egress Maintenance,1
619,Charlestown,2012.0,Failed to comply w permit term,3
620,Charlestown,2012.0,Failure to Obtain Permit,13
621,Charlestown,2012.0,Guards Where Required,1
622,Charlestown,2012.0,Locks and Latches (Gate),1
623,Charlestown,2012.0,Maintenance,3
624,Charlestown,2012.0,Permits,1
625,Charlestown,2012.0,Protection of Adj. Property,2
626,Charlestown,2012.0,Revocation of Certificate,1
627,Charlestown,2012.0,Testing & Certification,1
628,Charlestown,2012.0,Unsafe Structures,4
629,Charlestown,2012.0,Unsafe and Dangerous,11
630,Charlestown,2013.0,Failure to Obtain Permit,18
631,Charlestown,2013.0,Protection of Adj. Property,6
632,Charlestown,2013.0,Protection of Pedestrians,1
633,Charlestown,2013.0,Referenced Codes,1
634,Charlestown,2013.0,Size and Rating,1
635,Charlestown,2013.0,Testing & Certification,1
636,Charlestown,2013.0,Unsafe and Dangerous,10
637,Charlestown,2014.0,Certificate of Occupancy,7
638,Charlestown,2014.0,Failed to comply w permit term,2
639,Charlestown,2014.0,Failure to Obtain Permit,16
640,Charlestown,2014.0,Protection of Adj. Property,6
641,Charlestown,2014.0,Revocation of Certificate,1
642,Charlestown,2014.0,Right of Entry,1
643,Charlestown,2014.0,Testing & Certification,1
644,Charlestown,2014.0,Unsafe and Dangerous,5
645,Charlestown,2015.0,Clear Width,1
646,Charlestown,2015.0,Exit Passageways,1
647,Charlestown,2015.0,Failed to comply w permit term,2
648,Charlestown,2015.0,Failure to Obtain Permit,25
649,Charlestown,2015.0,Fire Protection Systems,1
650,Charlestown,2015.0,Inspections,1
651,Charlestown,2015.0,Maintenance,8
652,Charlestown,2015.0,Means of Egress,3
653,Charlestown,2015.0,Protection of Adj. Property,7
654,Charlestown,2015.0,Right of Entry,2
655,Charlestown,2015.0,Suspension or Revocation,1
656,Charlestown,2015.0,Testing & Certification,1
657,Charlestown,2015.0,Unsafe and Dangerous,9
658,Charlestown,2016.0,Building or Use of Premise req,2
659,Charlestown,2016.0,Construction Safeguards,2
660,Charlestown,2016.0,Door Operations,2
661,Charlestown,2016.0,Failed to comply w permit term,1
662,Charlestown,2016.0,Failure to Obtain Permit,7
663,Charlestown,2016.0,Maintenance,7
664,Charlestown,2016.0,No use of premises permit:,1
665,Charlestown,2016.0,Protection of Adj. Property,3
666,Charlestown,2016.0,Referenced Codes & Standards,1
667,Charlestown,2016.0,Right of Entry,1
668,Charlestown,2016.0,Unsafe and Dangerous,8
669,Charlestown,2017.0,Acts 1956 as Amended,1
670,Charlestown,2017.0,Building or Use of Premise req,2
671,Charlestown,2017.0,Door operations-Egress doors,2
672,Charlestown,2017.0,Failed to comply w permit term,2
673,Charlestown,2017.0,Failure to Obtain Permit,8
674,Charlestown,2017.0,Failure to call for req Insp.,1
675,Charlestown,2017.0,Maintenance,5
676,Charlestown,2017.0,Maximum Height from Floor,1
677,Charlestown,2017.0,No use of premises permit:,2
678,Charlestown,2017.0,Protection of Adj. Property,2
679,Charlestown,2017.0,Right of Entry,1
680,Charlestown,2017.0,Suspension or Revocation,1
681,Charlestown,2017.0,Unsafe and Dangerous,14
682,Charlestown,2018.0,Failed to comply w permit term,1
683,Charlestown,2018.0,Failure to Obtain Permit,3
684,Charlestown,2018.0,I.S.S.U,1
685,Charlestown,2018.0,Maintenance,1
686,Charlestown,2018.0,Protection of Adj. Property,1
687,Charlestown,2018.0,Unsafe and Dangerous,4
688,Charlestown,2019.0,Access to Public Way,1
689,Charlestown,2019.0,Certificate of Occupancy,1
690,Charlestown,2019.0,Failure to Obtain Permit,5
691,Charlestown,2019.0,Fire Protection Systems,1
692,Charlestown,2019.0,Int. Exit  Stairways & Ramps,1
693,Charlestown,2019.0,Maintenance,3
694,Charlestown,2019.0,Protection of Adj. Property,3
695,Charlestown,2019.0,Right of Entry,1
696,Charlestown,2019.0,Unsafe and Dangerous,6
697,Charlestown,2020.0,Acts 1956 as Amended,1
698,Charlestown,2020.0,Certificate of Occupancy,1
699,Charlestown,2020.0,Failure to Obtain Permit,3
700,Charlestown,2020.0,Maintenance,3
701,Charlestown,2020.0,Maintenance of Means of Egress,2
702,Charlestown,2020.0,Protection of Adj. Property,1
703,Charlestown,2020.0,Testing & Certification,1
704,Charlestown,2020.0,Unsafe Structure,1
705,Charlestown,2020.0,Unsafe and Dangerous,3
706,Charlestown,2021.0,Failed to comply w permit term,1
707,Charlestown,2021.0,Failure to Obtain Permit,4
708,Charlestown,2021.0,Means of Egress,1
709,Charlestown,2021.0,Protection of Adj. Property,4
710,Charlestown,2021.0,Testing & Certification,2
711,Charlestown,2021.0,Unsafe and Dangerous,3
712,Charlestown,2022.0,Failed to comply w permit term,1
713,Charlestown,2022.0,Failure to Obtain Permit,3
714,Charlestown,2022.0,Inspections,1
715,Charlestown,2022.0,Maintenance,11
716,Charlestown,2022.0,Means of Egress,1
717,Charlestown,2022.0,Protection of Adj. Property,1
718,Charlestown,2022.0,Unsafe Structures,2
719,Charlestown,2023.0,Failure to Obtain Permit,1
720,Charlestown,2023.0,Maintenance,2
721,Charlestown,2023.0,Unsafe Structures,1
722,Charlestown,2024.0,Exit Passageways,2
723,Charlestown,2024.0,Failure to Obtain Permit,4
724,Charlestown,2024.0,Location of Exhaust Outlets,1
725,Charlestown,2024.0,Maintenance,2
726,Charlestown,2024.0,Right of Entry,1
727,Charlestown,2024.0,Underpinning,1
728,Charlestown,2024.0,Unsafe Structures,1
729,Charlestown,2024.0,Unsafe and Dangerous,1
730,Chestnut Hill,2010.0,Inspections,1
731,Chestnut Hill,2012.0,Maintenance,1
732,Chestnut Hill,2013.0,Failure to Obtain Permit,1
733,Chestnut Hill,2014.0,Certificate of Occupancy,1
734,Chestnut Hill,2014.0,Failure to Obtain Permit,1
735,Chestnut Hill,2014.0,Protection of Adj. Property,1
736,Chestnut Hill,2014.0,Unsafe and Dangerous,2
737,Chestnut Hill,2015.0,Protection of Adj. Property,2
738,Chestnut Hill,2015.0,Unsafe and Dangerous,1
739,Chestnut Hill,2017.0,Protection of Adj. Property,1
740,Chinatown,2010.0,Application for Permit,5
741,Chinatown,2010.0,"Boxes, Where Required",1
742,Chinatown,2010.0,Buildings hereafter altered,1
743,Chinatown,2010.0,Certificate of Occupancy,3
744,Chinatown,2010.0,Covers & Canopies,2
745,Chinatown,2010.0,Deteriorating Agents,1
746,Chinatown,2010.0,Failed to comply w PRMT terms,1
747,Chinatown,2010.0,Hand Rails,1
748,Chinatown,2010.0,Inspections,2
749,Chinatown,2010.0,Maintenance,2
750,Chinatown,2010.0,Securing and Supporting,1
751,Chinatown,2010.0,Unsafe Maintenance,1
752,Chinatown,2010.0,Unsafe Structure,2
753,Chinatown,2010.0,Unsafe and Dangerous,1
754,Chinatown,2010.0,Uses not permitted,1
755,Chinatown,2011.0,Application for Permit,1
756,Chinatown,2011.0,Certificate of Occupancy,1
757,Chinatown,2011.0,Inspections,1
758,Chinatown,2011.0,Temporary Occupancy,1
759,Chinatown,2011.0,Unsafe and Dangerous,2
760,Chinatown,2012.0,Construction Safeguards,1
761,Chinatown,2012.0,Dead Load,1
762,Chinatown,2012.0,Failure to Obtain Permit,2
763,Chinatown,2012.0,Maintenance,3
764,Chinatown,2012.0,Maintenance/Fire Protection,2
765,Chinatown,2012.0,Maximum Height from Floor,1
766,Chinatown,2012.0,Periodic Inspections,6
767,Chinatown,2012.0,Permits,1
768,Chinatown,2012.0,Portable Fire Extinguishers,1
769,Chinatown,2012.0,Proper Maintenance,1
770,Chinatown,2012.0,Unsafe Structures,1
771,Chinatown,2012.0,Unsafe and Dangerous,2
772,Chinatown,2013.0,Access to Public Way,6
773,Chinatown,2013.0,Acoustical Ceiling Systems,1
774,Chinatown,2013.0,Certificate of Occupancy,1
775,Chinatown,2013.0,Emergency Escape,1
776,Chinatown,2013.0,Exit Signs,1
777,Chinatown,2013.0,Exits Maintained,1
778,Chinatown,2013.0,Failure to Obtain Permit,5
779,Chinatown,2013.0,Fire Protection Systems,2
780,Chinatown,2013.0,Floor Surface,1
781,Chinatown,2013.0,Guarding of Live parts,1
782,Chinatown,2013.0,Handrails,1
783,Chinatown,2013.0,Illumination,1
784,Chinatown,2013.0,Inspections,1
785,Chinatown,2013.0,Means of Egress,3
786,Chinatown,2013.0,Mechanical Execution of Work,1
787,Chinatown,2013.0,Openings to be closed,1
788,Chinatown,2013.0,Periodic Inspections,3
789,Chinatown,2013.0,Portable Fire Extinguishers,1
790,Chinatown,2013.0,Portable fire extinguishers,1
791,Chinatown,2013.0,Proper Maintenance,1
792,Chinatown,2013.0,Referenced Codes,1
793,Chinatown,2013.0,Securing and supporting,1
794,Chinatown,2013.0,Specialized codes,1
795,Chinatown,2013.0,Testing & Certification,3
796,Chinatown,2013.0,Unsafe and Dangerous,9
797,Chinatown,2013.0,Uses not permitted,1
798,Chinatown,2013.0,Validity of Permit,1
799,Chinatown,2014.0,Certificate of Occupancy,5
800,Chinatown,2014.0,Exits,1
801,Chinatown,2014.0,Failure to Obtain Permit,3
802,Chinatown,2014.0,Fire Resistance; Rated Walls,1
803,Chinatown,2014.0,Illumination,1
804,Chinatown,2014.0,Periodic Inspections,2
805,Chinatown,2014.0,Protection of Adj. Property,1
806,Chinatown,2014.0,Right of Entry,2
807,Chinatown,2014.0,Unsafe and Dangerous,4
808,Chinatown,2015.0,Application for Permit,3
809,Chinatown,2015.0,Certificate of Occupancy,2
810,Chinatown,2015.0,Deteriorating Agents,2
811,Chinatown,2015.0,Electrical Connections,1
812,Chinatown,2015.0,Exit Access,3
813,Chinatown,2015.0,Failure to Obtain Permit,6
814,Chinatown,2015.0,Fire Protection Systems,1
815,Chinatown,2015.0,Fire Resistance; Rated Walls,2
816,Chinatown,2015.0,Guarding of Live parts,1
817,Chinatown,2015.0,Illumination,1
818,Chinatown,2015.0,Means of Egress Illumination,2
819,Chinatown,2015.0,Mechanical Execution of Work,1
820,Chinatown,2015.0,Periodic Inspections,6
821,Chinatown,2015.0,Portable fire extinguishers,1
822,Chinatown,2015.0,Revocation of Cert. of Occ.,2
823,Chinatown,2015.0,Revocation of Certificate,2
824,Chinatown,2015.0,Seperation Walls,2
825,Chinatown,2015.0,Testing an Identification,1
826,Chinatown,2015.0,Unsafe and Dangerous,6
827,Chinatown,2015.0,Unsafe bldg&equip.,1
828,Chinatown,2015.0,Uses not permitted,2
829,Chinatown,2016.0,Automatic Smoke Detection,1
830,Chinatown,2016.0,Decorative Material,1
831,Chinatown,2016.0,Emergency Exit,1
832,Chinatown,2016.0,Failure to Obtain Permit,5
833,Chinatown,2016.0,Fire Protection Systems,1
834,Chinatown,2016.0,Periodic Inspections,1
835,Chinatown,2016.0,Testing & Certification,2
836,Chinatown,2016.0,Unsafe and Dangerous,2
837,Chinatown,2017.0,Failure to Obtain Permit,5
838,Chinatown,2017.0,Maintenance-Sprinkler,1
839,Chinatown,2017.0,Means of Egress,1
840,Chinatown,2017.0,Periodic Inspections,1
841,Chinatown,2017.0,Tactile Exit Signs,1
842,Chinatown,2017.0,Testing & Certification,1
843,Chinatown,2017.0,Unsafe and Dangerous,1
844,Chinatown,2018.0,Certificate of Inspection,1
845,Chinatown,2018.0,Certificate of Occupancy,1
846,Chinatown,2018.0,Egress Doors,1
847,Chinatown,2018.0,Failure to Obtain Permit,4
848,Chinatown,2018.0,Periodic Inspections,1
849,Chinatown,2018.0,Unsafe and Dangerous,1
850,Chinatown,2018.0,Validity of Permit,1
851,Chinatown,2019.0,Certificate of Occupancy,2
852,Chinatown,2019.0,Failure to Obtain Permit,3
853,Chinatown,2019.0,Fire Protection Systems,1
854,Chinatown,2019.0,Locks and Latches,1
855,Chinatown,2019.0,Maintenance,5
856,Chinatown,2019.0,Testing & Certification,1
857,Chinatown,2019.0,Unsafe and Dangerous,2
858,Chinatown,2020.0,Certificate of Occupancy,1
859,Chinatown,2020.0,Fire Protection Systems,1
860,Chinatown,2020.0,Maintenance,1
861,Chinatown,2021.0,Fire Protection Systems,1
862,Chinatown,2021.0,Maintenance,1
863,Chinatown,2022.0,Maintenance,2
864,Chinatown,2022.0,Testing & Certification,11
865,Chinatown,2023.0,Certificate of Occupancy,1
866,Chinatown,2023.0,Maintenance,3
867,Chinatown,2023.0,Testing & Certification,3
868,Chinatown,2023.0,Unsafe Structures,2
869,Chinatown,2024.0,Certificate of Occupancy,2
870,Chinatown,2024.0,Failure to Obtain Permit,3
871,Chinatown,2024.0,Maintenance of Means of Egress,2
872,Chinatown,2024.0,No use of premises permit:,1
873,Chinatown,2024.0,Periodic Inspections,1
874,Chinatown,2024.0,Protection of Adj. Property,2
875,Chinatown,2024.0,Right of Entry,2
876,Chinatown,2024.0,Testing & Certification,5
877,Chinatown,2024.0,Unsafe Structures,1
878,Chinatown,2024.0,Validity of Permit,1
880,Dorchester,2010.0,Application for Permit,1
881,Dorchester,2010.0,Application for permit,1
882,Dorchester,2010.0,Building Illegally Occupied,1
883,Dorchester,2010.0,Building or Use of Premise req,18
884,Dorchester,2010.0,Buildings hereafter altered,2
885,Dorchester,2010.0,Certificate of Inspection,2
886,Dorchester,2010.0,Certificate of Occupancy,1
887,Dorchester,2010.0,Compliance with Permit,3
888,Dorchester,2010.0,Deteriorating Agents,2
889,Dorchester,2010.0,Egress,1
890,Dorchester,2010.0,Emergency Escape,1
891,Dorchester,2010.0,Expiration of permit,1
892,Dorchester,2010.0,Failed to comply w PRMT terms,4
893,Dorchester,2010.0,Failure to Comply w Bldg Code,1
894,Dorchester,2010.0,Failure to Comply w. Code,1
895,Dorchester,2010.0,Failure to secure permit,20
896,Dorchester,2010.0,Final Inspection,1
897,Dorchester,2010.0,Fire Escape Affidavit,3
898,Dorchester,2010.0,Guarding of Live Ports,1
899,Dorchester,2010.0,Hand Rails,1
900,Dorchester,2010.0,Hazardous Means of Egress,1
901,Dorchester,2010.0,Inspections,91
902,Dorchester,2010.0,Landings Required,1
903,Dorchester,2010.0,Maintenance,8
904,Dorchester,2010.0,Maintenance of Exterior,1
905,Dorchester,2010.0,Mechanical Execution of Work,7
906,Dorchester,2010.0,Meter Tapping,2
907,Dorchester,2010.0,Not Located in Bathrooms,1
908,Dorchester,2010.0,Periodic Inspections,3
909,Dorchester,2010.0,Permit Secured by Owner,1
910,Dorchester,2010.0,Protection of Adj. Property,3
911,Dorchester,2010.0,Rem Dangerous/Abandoned Struct,1
912,Dorchester,2010.0,Remove/Making Safe Structure,1
913,Dorchester,2010.0,Right of Entry,8
914,Dorchester,2010.0,Services During Construction,1
915,Dorchester,2010.0,Smoke Detectors,2
916,Dorchester,2010.0,Spaces about Elect. Equip.,1
917,Dorchester,2010.0,Testing & Certification,3
918,Dorchester,2010.0,Unsafe & Dangerous,5
919,Dorchester,2010.0,Unsafe Maintanence,1
920,Dorchester,2010.0,Unsafe Maintenance,41
921,Dorchester,2010.0,Unsafe Structure,12
922,Dorchester,2010.0,Unsafe Structures,6
923,Dorchester,2010.0,Unsafe and Dangerous,45
924,Dorchester,2010.0,Workmanship,2
925,Dorchester,2011.0,Application for Permit,2
926,Dorchester,2011.0,Attachment,1
927,Dorchester,2011.0,Building or Use of Premise req,9
928,Dorchester,2011.0,Carbon Monoxide Protection,2
929,Dorchester,2011.0,Certificate of Inspection,2
930,Dorchester,2011.0,Certificate of Occupancy,1
931,Dorchester,2011.0,Common area branch circuits,2
932,Dorchester,2011.0,Dwelling unit branch circuits.,2
933,Dorchester,2011.0,Egress,1
934,Dorchester,2011.0,Electrical Work w/out Permit,2
935,Dorchester,2011.0,Electrical Work w/out a Permit,2
936,Dorchester,2011.0,Excessive Use of Ext. Cords,1
937,Dorchester,2011.0,Failed to comply w PRMT terms,2
938,Dorchester,2011.0,Failure to Obtain Permit,52
939,Dorchester,2011.0,Failure to remove or make,1
940,Dorchester,2011.0,Failure to secure permit,16
941,Dorchester,2011.0,Fire Escape Affidavit,1
942,Dorchester,2011.0,Grounding electrode conduction,1
943,Dorchester,2011.0,Illegally occupied prior to CO,1
944,Dorchester,2011.0,Inspections,9
945,Dorchester,2011.0,Maintenance,39
946,Dorchester,2011.0,Mass State Plumbing Code,2
947,Dorchester,2011.0,Means of Egress Illumination,1
948,Dorchester,2011.0,Mechanical Execution of Work,2
949,Dorchester,2011.0,Pedestrian Protection,1
950,Dorchester,2011.0,Permits to perform gas fitting,1
951,Dorchester,2011.0,Protection of Adj. Property,2
952,Dorchester,2011.0,Right of Entry,7
953,Dorchester,2011.0,Smoke Detectors,3
954,Dorchester,2011.0,Unsafe & Dangerous,11
955,Dorchester,2011.0,Unsafe Maintenance,6
956,Dorchester,2011.0,Unsafe Structure,2
957,Dorchester,2011.0,Unsafe Structures,15
958,Dorchester,2011.0,Unsafe and Dangerous,55
959,Dorchester,2011.0,Uses not permitted,1
960,Dorchester,2011.0,Wiring Methods,1
961,Dorchester,2012.0,Bathrooms,1
962,Dorchester,2012.0,Bolt Locks,1
963,Dorchester,2012.0,Building or Use of Premise req,8
964,Dorchester,2012.0,Certificate of Inspection,1
965,Dorchester,2012.0,Electrical Connections,1
966,Dorchester,2012.0,Failed to comply w permit term,5
967,Dorchester,2012.0,Failure to Comply w. Code,1
968,Dorchester,2012.0,Failure to Obtain Permit,85
969,Dorchester,2012.0,Failure to Secure Permit,30
970,Dorchester,2012.0,Failure to secure permit,6
971,Dorchester,2012.0,Fire Alarm and Detection,2
972,Dorchester,2012.0,Inspections,1
973,Dorchester,2012.0,Maintenance,21
974,Dorchester,2012.0,Maintenance of Facilities,2
975,Dorchester,2012.0,Mass State Plumbing Code,1
976,Dorchester,2012.0,Mass. State Electrical Code,1
977,Dorchester,2012.0,Means of Attachment,1
978,Dorchester,2012.0,Mechanical Execution of Work,3
979,Dorchester,2012.0,Mounting & Cooling Equipment,1
980,Dorchester,2012.0,Periodic Inspections,4
981,Dorchester,2012.0,Permits,2
982,Dorchester,2012.0,Required Inspections,1
983,Dorchester,2012.0,Right of Entry,21
984,Dorchester,2012.0,Size and Rating,1
985,Dorchester,2012.0,Testing & Certification,1
986,Dorchester,2012.0,Unsafe & Dangerous,1
987,Dorchester,2012.0,Unsafe Building & Structures,1
988,Dorchester,2012.0,Unsafe Structure,3
989,Dorchester,2012.0,Unsafe Structures,12
990,Dorchester,2012.0,Unsafe and Dangerous,99
991,Dorchester,2012.0,Unused Openings,1
992,Dorchester,2012.0,Unused openings,1
993,Dorchester,2012.0,Uses not permitted,2
994,Dorchester,2012.0,Wiring Intensity,1
995,Dorchester,2013.0,Abutting a public street,1
996,Dorchester,2013.0,Accessible Means of Egress,1
997,Dorchester,2013.0,Building or Use of Premise req,5
998,Dorchester,2013.0,City Zoning Code,1
999,Dorchester,2013.0,Compliance with Permit,1
1000,Dorchester,2013.0,Deteriorating Agents,2
1001,Dorchester,2013.0,Electrical Connections,1
1002,Dorchester,2013.0,Electrical equipment integrity,1
1003,Dorchester,2013.0,Exits Maintained,1
1004,Dorchester,2013.0,Exposed work,1
1005,Dorchester,2013.0,Failed to comply w permit term,5
1006,Dorchester,2013.0,Failure to Obtain Permit,65
1007,Dorchester,2013.0,Failure to Secure Permit,22
1008,Dorchester,2013.0,Failure to secure permit,1
1009,Dorchester,2013.0,Fire Separation Assemblies,1
1010,Dorchester,2013.0,Flex cords/cables not permited,1
1011,Dorchester,2013.0,Guarding of Live parts,1
1012,Dorchester,2013.0,"Hours operation, nonconforming",1
1013,Dorchester,2013.0,Inspections,2
1014,Dorchester,2013.0,Means of Egress,1
1015,Dorchester,2013.0,Meter Tapping,2
1016,Dorchester,2013.0,Minimum Requirements,1
1017,Dorchester,2013.0,Municipal Bylaws or Ordinances,2
1018,Dorchester,2013.0,Occupancy,1
1019,Dorchester,2013.0,Periodic Inspections,2
1020,Dorchester,2013.0,Permits,1
1021,Dorchester,2013.0,Protection of Adj. Property,2
1022,Dorchester,2013.0,Revocation of Certificate,1
1023,Dorchester,2013.0,Right of Entry,31
1024,Dorchester,2013.0,Smoke alarm locations,1
1025,Dorchester,2013.0,Suspension or Revocation,1
1026,Dorchester,2013.0,Testing & Certification,2
1027,Dorchester,2013.0,Unsafe & Dangerous,5
1028,Dorchester,2013.0,Unsafe Structure,3
1029,Dorchester,2013.0,Unsafe and Dangerous,118
1030,Dorchester,2013.0,Uses Not Permitted,1
1031,Dorchester,2013.0,Wiring Integrity,2
1032,Dorchester,2014.0, Mass. State Plumbing Code,1
1033,Dorchester,2014.0,Abutting a public street,1
1034,Dorchester,2014.0,Building or Use of Premise req,9
1035,Dorchester,2014.0,Certificate of Occupancy,4
1036,Dorchester,2014.0,Corridor Obstruction,1
1037,Dorchester,2014.0,Egress Maintenance,1
1038,Dorchester,2014.0,Elec. Equip. & Connections,2
1039,Dorchester,2014.0,Electrical Work w/out a Permit,1
1040,Dorchester,2014.0,Expiration,2
1041,Dorchester,2014.0,Failed to comply w permit term,9
1042,Dorchester,2014.0,Failure to Obtain Permit,106
1043,Dorchester,2014.0,Failure to Secure Permit,8
1044,Dorchester,2014.0,Fire  & Smoke Alarm Systems,1
1045,Dorchester,2014.0,Guarding of Live parts,2
1046,Dorchester,2014.0,Hazard Materials,1
1047,Dorchester,2014.0,Integrity of elec. equipment,1
1048,Dorchester,2014.0,Maintenance,10
1049,Dorchester,2014.0,Mass State Plumbing Code,4
1050,Dorchester,2014.0,Means of Egress,2
1051,Dorchester,2014.0,Mechanical Execution of Work,3
1052,Dorchester,2014.0,Minimum Number of Exits,1
1053,Dorchester,2014.0,Modification fire protection,1
1054,Dorchester,2014.0,Mounting & Cooling Equipment,2
1055,Dorchester,2014.0,Municipal Bylaws or Ordinances,1
1056,Dorchester,2014.0,Number of Exits or Exit Access,2
1057,Dorchester,2014.0,Openings to be closed.,1
1058,Dorchester,2014.0,Other Laws,1
1059,Dorchester,2014.0,Periodic Inspections,5
1060,Dorchester,2014.0,Permits,3
1061,Dorchester,2014.0,Permits to perform gas fitting,1
1062,Dorchester,2014.0,Property Maintenance,1
1063,Dorchester,2014.0,Protection of Adj. Property,1
1064,Dorchester,2014.0,Ramps,1
1065,Dorchester,2014.0,Referenced Codes & Standards,2
1066,Dorchester,2014.0,Required Inspections,1
1067,Dorchester,2014.0,Revocation of Cert. of Occ.,2
1068,Dorchester,2014.0,Right of Entry,26
1069,Dorchester,2014.0,Securing and Supporting,2
1070,Dorchester,2014.0,Suspension or Revocation,2
1071,Dorchester,2014.0,Testing & Certification,7
1072,Dorchester,2014.0,Unlawful Acts,2
1073,Dorchester,2014.0,Unlawful Continuance,2
1074,Dorchester,2014.0,Unsafe & Dangerous,1
1075,Dorchester,2014.0,Unsafe Structure,2
1076,Dorchester,2014.0,Unsafe and Dangerous,109
1077,Dorchester,2014.0,Uses not Permitted,1
1078,Dorchester,2014.0,Uses not permitted,1
1079,Dorchester,2014.0,Working Without a Permit,1
1080,Dorchester,2015.0,Automatic Sprinkler System,1
1081,Dorchester,2015.0,Building or Use of Premise req,8
1082,Dorchester,2015.0,Certificate of Occupancy,4
1083,Dorchester,2015.0,Covers & Canopies,1
1084,Dorchester,2015.0,Egress Maintenance,1
1085,Dorchester,2015.0,Elec. Equip. & Connections,1
1086,Dorchester,2015.0,Electrical Work w/out Permit,1
1087,Dorchester,2015.0,Emergency Escape,2
1088,Dorchester,2015.0,Emergency Escape & Rescue,2
1089,Dorchester,2015.0,Exit Passageways,1
1090,Dorchester,2015.0,Failed to comply w permit term,14
1091,Dorchester,2015.0,Failure to Obtain Permit,86
1092,Dorchester,2015.0,Failure to Secure Permit,5
1093,Dorchester,2015.0,Failure to remove or make,2
1094,Dorchester,2015.0,Failure to secure permit,1
1095,Dorchester,2015.0,Fire Protection Systems,1
1096,Dorchester,2015.0,Foyer & Lobbies,1
1097,Dorchester,2015.0,Guarding of Live parts,3
1098,Dorchester,2015.0,Improper Electrical Repair,1
1099,Dorchester,2015.0,Information on Documentation,1
1100,Dorchester,2015.0,Inspections,2
1101,Dorchester,2015.0,Locks and Latches,3
1102,Dorchester,2015.0,Maintenance,25
1103,Dorchester,2015.0,Mass. State Electrical Code,1
1104,Dorchester,2015.0,Mechanical Execution of Work,1
1105,Dorchester,2015.0,Municipal Bylaws or Ordinances,1
1106,Dorchester,2015.0,No use of premises permit:,5
1107,Dorchester,2015.0,Openings to be closed.,1
1108,Dorchester,2015.0,Periodic Inspections,2
1109,Dorchester,2015.0,Protection of Adj. Property,2
1110,Dorchester,2015.0,Referenced Codes & Standards,1
1111,Dorchester,2015.0,Requirements,1
1112,Dorchester,2015.0,Right of Entry,20
1113,Dorchester,2015.0,Securing and Supporting,1
1114,Dorchester,2015.0,Smoke Alarms,1
1115,Dorchester,2015.0,Smoke Detectors,1
1116,Dorchester,2015.0,Testing & Certification,2
1117,Dorchester,2015.0,Unlawful Acts,2
1118,Dorchester,2015.0,Unsafe and Dangerous,131
1119,Dorchester,2015.0,Use of Premises,1
1120,Dorchester,2015.0,Uses not permitted,1
1121,Dorchester,2015.0,Work Performed Over Time,1
1122,Dorchester,2015.0,Workmanship,2
1123,Dorchester,2016.0,Basic Principles,1
1124,Dorchester,2016.0,Branch Circuit Extensions,1
1125,Dorchester,2016.0,Certificate of Occupancy,3
1126,Dorchester,2016.0,Construction Safeguards,2
1127,Dorchester,2016.0,Covers & Canopies,1
1128,Dorchester,2016.0,Design/construction of vent.,1
1129,Dorchester,2016.0,Electrical Work w/out Permit,1
1130,Dorchester,2016.0,Emergency Escape,1
1131,Dorchester,2016.0,Exit Signs,1
1132,Dorchester,2016.0,Exits,1
1133,Dorchester,2016.0,Exits Maintained,1
1134,Dorchester,2016.0,Failed to comply w permit term,5
1135,Dorchester,2016.0,Failure to Obtain Permit,36
1136,Dorchester,2016.0,Failure to Secure Permit,1
1137,Dorchester,2016.0,Failure to secure permit,7
1138,Dorchester,2016.0,Fire Protection Systems,2
1139,Dorchester,2016.0,Fire and Smoke Protection,2
1140,Dorchester,2016.0,Groundings,1
